id,afirmacao,onde_no_artigo,tipo,artefato_de_prova,status,observacao
E01,"Funções recuperadas, cadeias sensíveis e símbolos instrumentáveis por alvo",Tabela 1,quantitativo,coleta/resultados_estaticos.csv,confirmado,Reproduzível por analise_estatica.sh; conferido célula a célula por verificar_numeros.py
E02,Soma dos símbolos instrumentáveis = 92,Tabela 1 e Tabela 4,quantitativo,coleta/saidas_estaticas/*.hooks.txt,confirmado,60 (DVIA) + 22 (iGoat) + 10 (UnCrackable L2) = 92
E03,Criticidade por família: 18/1/6/32/35,Tabela 4,quantitativo,coleta/saidas_estaticas/*.hooks.txt,confirmado,"Resolvido em 16/08/2026: o rotulo passou a ""Keychain e segredos (SecItem*, SecKey*)"", que e o que a contagem de 18 de fato cobre — 16 SecItem* (8 no DVIA-v2, 8 no iGoat-Swift) mais 2 SecKeyCreate no DVIA-v2. A soma das familias continua 92, coerente com a Tabela 1"
E04,"Taxa de sucesso 100% em ssl/keychain/cripto, N=90",Tabela 3 e Resumo,quantitativo,coleta/resultados_dinamicos.csv,confirmado,"Dado real; mede instalação do interceptador, não evasão. Redação do resumo já corrigida"
E05,"IC 95% [95,9; 100,0] por Wilson",Tabela 3,quantitativo,coleta/verificar_numeros.py,confirmado,Recalculado a partir do CSV bruto
E06,"Tempos médios 0,111 / 0,108 / 0,106 s e CV 29,8 / 8,2 / 8,7%",Tabela 3 e Figura 4,quantitativo,coleta/resultados_dinamicos.csv,confirmado,"Outlier de 0,412 s na 1ª tentativa do 1º lote = cold start"
E07,O instrumento é capaz de registrar falha,Metodologia,metodologico,coleta/evidencias/04_controle_A.csv;coleta/evidencias/04_controle_B.csv;coleta/evidencias/04_controle_C.csv;coleta/evidencias/04_controle_D.csv,confirmado_com_ressalva,"FASE 4 executada em 16/08/2026 (2026-08-16T19:04:03Z) por coleta/frida/controles_negativos.py, 10 tentativas por controle, reutilizando a função uma() do harness_instrumenta.py de produção — nenhuma lógica de medição foi reescrita. ATENÇÃO: rodou em macOS 26.6.1 (build 25G76), POSTERIOR ao macOS 26.5.2 (build 25F84) da coleta original; Simulador iPhone 17 Pro Max iOS 26.5, Frida 17.12.0 e Xcode 26.6 inalterados. RESULTADO: A (seletor inexistente, '- metodoQueNaoExiste:') 0/10, motivo 'hook nao instalado (timeout)'; B (processo ausente, app encerrado) 0/10, motivo 'processo nao encontrado'; D (processo errado, --proc ProcessoInexistente) 0/10, motivo 'processo nao encontrado'. Os três registram sucesso=0 com motivo preenchido, o que comprova que o harness detecta e rotula falha — o 100% da Tabela 3 reflete o objeto medido, não cegueira do instrumento. RESSALVA: o controle C (timeout 0,001 s) NÃO falhou — 10/10 sucesso, tempos de 0,098 a 0,150 s, duas ordens de grandeza acima do timeout pedido. Causa em harness_instrumenta.py:41-65: sc.load() é síncrono e 'hook_ready' chega durante a própria chamada, antes do laço de espera; o timeout só governa a espera por eventos assíncronos, não o caminho de instalação do hook. O controle C invalida a si mesmo como alavanca de falha, não invalida o instrumento. O harness NÃO foi alterado para forçar a falha esperada. Efeito colateral: os tempos de C são uma medida independente compatível com a média ssl de 0,111±0,033 s da Tabela 3. Ao escrever o parágrafo de Metodologia, citar A, B e D como os controles que sustentam a afirmação e declarar C como controle que não se sustentou, com o motivo"
E08,"Nenhum dos quatro primitivos de resistência à depuração é implementado pelos alvos (afirmação anterior: PT_DENY_ATTACH=1, sysctl/P_TRACED=22, portas Mach=4)",Tabela 5,quantitativo,coleta/evidencias/01_antidebug.txt,confirmado,"Os três números antigos foram REMOVIDOS do artigo em 16/08/2026; a Tabela 5 virou tabela de ausência. FASE 1 executada em 16/08/2026 com rabin2 6.1.6. Nenhum dos três valores se reproduz. PT_DENY_ATTACH, P_TRACED, kinfo_proc e KERN_PROC: zero ocorrências nos dois binários, nas três colunas. ptrace só aparece como string solta no DVIA (0 imports, 0 símbolos). Os 2 imports de sysctl do DVIA rastreiam para PLCrashSysctl.c (Flurry CrashReporter) e deviceModelVersion.sysctlOnce. As 4 importações *_exception_ports pertencem ao FlurryPLCrashMachExceptionServer. iGoat-Swift: zero em tudo. O valor 22 não corresponde a nenhuma contagem. A Tabela 5 foi reescrita como achado de ausência, com colunas por alvo, e a linha do MASVS virou 'Ausência de resistência à depuração nos alvos'"
E09,"Indicadores de ambiente no DVIA-v2 (Cydia, /bin/bash, /etc/apt, MobileSubstrate)",Resultados,qualitativo,coleta/saidas_estaticas/DVIA-v2.strings.txt,confirmado,Os quatro presentes no dump de strings
E10,Armazenamento em preferências sem criptografia no DVIA-v2,Resultados,qualitativo,coleta/saidas_estaticas/DVIA-v2.strings.txt,confirmado,"73 ocorrencias de UserDefaults; inclui UserDefaultsViewController e 'Data saved in NSUserDefaults'. CORRECAO em 17/08/2026: o texto do artigo afirmava que 'a observacao em funcionamento confirmou o comportamento e localizou os arquivos correspondentes'. Nao ha lastro para isso: o DVIA-v2 nao foi executado. O .ipa e binario de dispositivo (arm64 de device) e nao roda no Simulador, e o aplicativo nao esta instalado no Simulador utilizado. A frase foi recuada para afirmar apenas o que a leitura estatica sustenta."
E11,"Keychain do iGoat: restrito a aparelho desbloqueado, não migrável, acesso após bootstrap",Resultados,qualitativo,coleta/saidas_estaticas/iGoat-Swift.hooks.txt,confirmado,"Resolvido em 16/08/2026 por RECUO da afirmacao, nao por coleta. A versao anterior dizia que o segredo ficava restrito ao aparelho desbloqueado, nao migravel e acessado so apos o bootstrap — atributos que exigiriam capturar os argumentos de SecItemAdd em execucao, o que nao foi feito. O texto agora afirma apenas o que a leitura do binario sustenta: o iGoat-Swift usa as quatro operacoes da familia SecItem (2 ocorrencias de cada em iGoat-Swift.hooks.txt), ao contrario do DVIA-v2, que recorre ao repositorio de preferencias. A conferencia dos atributos de protecao fica declarada como limitacao no proprio paragrafo"
E12,Figura 2 e captura do Ghidra sobre a fatia arm64 do iGoat-Swift,Figura 2,procedencia,artigo/figuras/fig2_ghidra_cfg.png,confirmado,"Barra de titulo da imagem: 'CodeBrowser: EngenhariaReversa:/iGoat-arm64'. Rotina saveKeychainItemNamed:error:, 8 vertices. A captura e feita sobre a fatia arm64 extraida com 'lipo -thin arm64' (Mach-O 64-bit executable arm64, magic 0xfeedfacf). CONFERENCIA do disassembly, feita sobre a imagem: instrucoes stp/ldp/bl (stp x24,x23,[sp,#-0x40]!; stp x29,x30; bl _objc_retain; cbz w22), registradores x/w e enderecos avancando de 4 em 4 bytes (fd98, fd9c, fda0, fda4). Nenhuma ocorrencia de r0-r11 nem de movw/movt. O painel Defined Strings aparece a direita, filtrado por 'password', com 58 de 185 itens visiveis, incluindo KeychainPasswordItem, 'Error reading password from k...' e 'INSERT INTO creds(username, ...'. O projeto do Ghidra nao e versionado (esta no .gitignore); e recriado reimportando a fatia arm64."
E13,"Ambiente: macOS 26.5 ARM64 (Apple M4), Xcode 26.6, Frida 17.12.0, radare2 6.1.6 (antes: M4 Pro, Xcode 26.5)",Metodologia e Figura 1,ambiental,coleta/evidencias/00_ambiente.txt,confirmado_com_ressalva,"FASE 0 executada em 16/08/2026. Confere: macOS 26.5.2 arm64, Frida 17.12.0, radare2/rabin2 6.1.6, Ghidra 11.4.2, Objection 1.12.5, Python 3.14.4, node 24.16.0. DIVERGE em dois pontos da Figura 1: o processador é Apple M4 (10 núcleos, sem sufixo Pro) e o Xcode é 26.6 build 17F113, não 26.5. A Figura 1 foi corrigida e regerada por artigo/gerador/fig_ambiente.py em 16/08/2026. Nota: os CLIs frida e objection não estão no PATH; só respondem por python3 -m. ATENCAO: a maquina foi atualizada para macOS Tahoe 26.6.1 em 16/08/2026, DEPOIS da coleta. O artigo mantem 26.5 de proposito, que e a versao em que os dados foram produzidos. Qualquer nova coleta rodara em 26.6.1 e precisa ser registrada como tal"
E14,Ensaios sem tráfego externo,Metodologia e Figura 1,ambiental,,nao_verificavel,Afirmação sobre a condução do experimento; não deixa rastro em artefato. Manter apenas se for verdade
E15,Comparação qualitativa das quatro ferramentas,Tabela 8,qualitativo,,baseado_em_experiencia,Classificação segundo os critérios do projeto; não é medida quantitativa e o texto não a apresenta como tal
E16,Mapeamento dos achados ao MASVS,Tabela 6,mapeamento,,derivado,Cada linha depende de um achado confirmado; linha da dica de senha foi removida por falta de lastro
E17,Mapeamento das técnicas ao MITRE ATT&CK Mobile,Tabela 7,mapeamento,,derivado,Idem; linha T1417 removida junto com o achado que a sustentava
E18,Simulador não reproduz o modelo de confiança do iOS,Tabela 2,documental,,confirmado,"Baseado em Apple Inc. (2024) e OWASP Foundation (2024a), citados"
E19,Frida Gadget aborta na inicialização em iOS 26.5,Limitações,relato_de_execucao,,relato,"Bloqueio observado durante a pesquisa; não há artefato versionado. Declarado como limitação, sem número"
E20,"Identificadores e nomes das tecnicas MITRE ATT&CK Mobile (T1638, T1633.001, T1634.001, T1409)",Tabela 7,documental,attack.mitre.org (consultado em 16/08/2026),confirmado,"Verificado um a um no site oficial. T1638 Adversary-in-the-Middle (Mobile, Android e iOS, versao 2.2); T1634.001 Credentials from Password Store: Keychain (Mobile, iOS, versao 1.1); T1633.001 Virtualization/Sandbox Evasion: System Checks; T1409 Stored Application Data. Nomes e IDs conferem exatamente com os publicados na Tabela 7"
